,순번,시군구명,주소,상세위치,거치대 유무,거치대 크기,address,lat,lon
0,68,마포구,대흥동 105-47,대흥역 1번출구 앞,N,,서울시 마포구 대흥동 105-47,,
1,69,마포구,성산동 592-6,마포구청역 2번출구 앞,N,,서울시 마포구 성산동 592-6,37.5641966882799,126.903275616221
2,70,마포구,아현동 329-15,아현역 4번출구,N,,서울시 마포구 아현동 329-15,37.5572040143701,126.955717734674
3,71,마포구,망원동 377-18,망원역2번출구(이니스프리앞),N,,서울시 마포구 망원동 377-18,37.556177519085,126.909606207885
4,72,마포구,공덕동255-10,공덕역 5번 출구(엘리베이터앞),N,,서울시 마포구 공덕동255-10,37.544252192461,126.951655612724
5,73,마포구,창전동 146-6,광흥창역 5번 출구 인근(한국조폐공사앞),N,,서울시 마포구 창전동 146-6,37.5471573836586,126.931934560259
6,74,마포구,노고산동 57-2,신촌역 7번출구 계단뒷편 스파오앞,N,,서울시 마포구 노고산동 57-2,37.5549097679627,126.935990516834
7,75,마포구,아현동 607-1,애오개역 4번 출구(화단앞),N,,서울시 마포구 아현동 607-1,37.5534937123238,126.957200085713
8,76,마포구,대흥동 2-6,이대역 5번 출구(화단앞),N,,서울시 마포구 대흥동 2-6,37.5564028173465,126.946109329326
9,77,마포구,성산동 266-1,마포구청역 4번 출구(LG전자앞),N,,서울시 마포구 성산동 266-1,37.5619742406157,126.905212903377
